agent_master_code|Name
783|CONSOLIDATED                                      
784|UNION ONE INSURANCE GROUP, LLC                    
785|CONSOLIDATED HR SERVICES, INC                     
786|MAIELLO & MANZI INSURANCE AGENCY                  
787|CONOVER BEYER ASSOCIATES INSURANCE                
788|F MESANKO & SON INSURANCE                         
790|MADISON INSURANCE                                 
791|THE PANGBORN AGENCY, LLC                          
792|ALLEN JAMES ASSOC, LLC                            
794|COASTWIDE INSURANCE ASSOC. INC                    
795|C & M FIRST SERVICES INC                          
796|CENTRAL JERSEY I.A., LLC                          
797|REEVES & MELVIN                                   
798|BBIG, INC                                         
799|WHARTON / LYON & LYON                             
800|THE WILHELM AGENCY                                
801|BUSINESS INSURANCE SERVICES, INC                  
802|WILLIAM R SEIDE AGENCY LLC                        
803|CHIBBARO BROTHERS                                 
804|J STINE AGENCY INC                                
805|CODA INSURANCE GROUP LLC                          
808|STONEBROOK INSURANCE GROUP INC.                   
809|IDEAL INSURANCE AGENCY                            
6000|ACRISURE, LLC                                     
9990|BAD CLAIM DATA                                    
9997|SETUP AGENT DO NOT DELETE - PA                    
9998|SETUP AGENT DO NOT DELETE - DE                    
9999|SETUP AGENT DO NOT DELETE - NJ                    
